Postcode-4;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse achtergond";"Westerse migratie achtergrond";"Niet-westerse migratie achtergrond"
7482;10430;5305;5125;1535;1240;2090;3110;2455;90;10;10
7483;2980;1545;1435;630;480;560;1070;240;90;10;10
7491;7435;3590;3845;1055;795;1320;2055;2215;90;10;0
7495;1865;985;880;290;265;300;620;390;90;0;0
7496;2080;1045;1035;345;295;420;605;415;100;0;0
7497;1580;800;780;300;190;355;460;280;100;0;0
7511;9640;5170;4470;590;2375;3085;1645;1940;60;20;20
7512;6880;3520;3360;815;1180;2045;1565;1275;70;20;20
7513;5085;2700;2385;640;1095;1565;1065;720;70;20;20
7514;5730;2990;2745;980;1060;1745;1260;685;70;10;10
7521;9250;4835;4415;1210;1630;2630;2350;1435;70;10;20
7522;7510;4190;3325;690;2650;1970;1275;925;70;20;20
7523;12215;6265;5950;1810;1750;3415;3085;2160;60;10;20
7524;3370;1755;1615;555;390;640;1045;740;90;10;0
7525;365;195;170;55;45;55;125;85;90;10;0
7531;8415;4100;4315;1275;985;1985;2270;1895;80;10;10
7532;5310;2670;2640;825;625;1185;1560;1115;80;10;10
7533;4655;2340;2310;670;785;1240;1220;740;70;10;20
7534;12555;6305;6250;2450;1565;3190;3585;1765;80;10;10
7535;3810;1915;1900;670;430;870;1075;765;90;10;0
7536;60;30;30;5;10;5;25;10;90;10;-99997
7541;3420;1705;1715;560;455;820;975;615;70;10;20
7542;10415;5315;5095;1925;1175;2570;2770;1970;70;10;20
7543;7120;3680;3440;975;1250;1980;1740;1175;70;10;20
7544;15900;7605;8290;2570;2175;3325;4155;3670;50;10;40
7545;14835;7620;7215;2145;2400;4060;3935;2290;70;10;20
7546;8695;4395;4300;1420;1010;2025;2865;1375;80;10;10
7547;595;330;265;70;90;130;190;115;80;10;10
7548;3820;1920;1900;580;370;745;1170;960;90;10;0
7551;4105;2115;1990;280;585;1045;1035;1160;80;10;10
7552;11140;5440;5700;1600;1335;2455;2905;2840;70;10;20
7553;9830;4990;4840;1315;1145;2670;2920;1775;80;10;10
7554;1495;795;700;190;225;285;500;290;90;10;0
7555;9080;4560;4520;1125;1030;1895;2675;2355;80;10;10
7556;11675;5770;5905;1835;1330;3005;3280;2230;80;10;10
7557;10785;5485;5300;1785;1325;3185;2655;1830;70;10;20
7558;12295;6215;6080;2045;1345;2795;3530;2575;80;10;10
7559;10735;5415;5320;1920;1695;2185;3630;1310;80;10;10
7561;2005;1055;950;350;265;395;600;395;90;0;0
7562;190;100;95;25;20;40;75;30;90;0;10
7571;2755;1310;1450;180;295;545;600;1140;80;10;10
7572;5055;2535;2520;805;580;1155;1495;1020;80;10;10
7573;3685;1730;1950;510;345;520;970;1330;90;10;0
7574;3555;1780;1775;580;375;875;945;775;80;10;10
7575;415;205;210;65;50;95;130;80;90;0;0
7576;6110;3000;3110;1025;645;1255;1615;1575;70;10;20
7577;10065;5120;4945;1900;1280;2270;3150;1465;90;10;0
7581;7970;3910;4060;1175;875;1705;2180;2035;80;10;0
7582;5325;2675;2650;765;605;1020;1630;1300;90;10;0
7585;485;270;215;45;65;95;175;105;80;10;10
7586;4085;2075;2010;650;460;805;1285;880;80;20;10
7587;3865;1980;1890;610;460;720;1205;875;90;10;0
7588;955;495;455;130;150;155;340;180;90;0;-99997
7591;10130;5105;5025;1560;1250;2175;2845;2295;90;10;0
7595;3020;1540;1480;445;395;605;930;645;90;0;0
7596;2330;1220;1110;355;370;440;720;450;100;0;0
7597;1675;885;790;265;270;345;530;265;100;0;0
7601;6995;3560;3435;1065;805;1965;1910;1250;70;10;20
7602;5605;2865;2740;910;665;1280;1480;1270;80;10;10
7603;6140;3065;3080;980;750;1535;1725;1150;80;10;10
7604;6605;3235;3370;1060;810;1500;1680;1555;50;10;30
7605;3050;1560;1490;535;340;835;860;480;60;10;30
7606;6945;3510;3435;1180;895;2055;1800;1010;60;10;30
7607;9165;4495;4670;1100;1060;2160;2515;2330;80;10;10
7608;11030;5395;5635;1680;1305;2180;3075;2785;70;10;10
7609;14080;7150;6930;2435;1935;3230;4520;1960;80;10;10
7610;40;20;20;10;5;10;10;10;100;-99997;-99997
7611;1525;770;755;245;210;275;480;315;90;10;0
7614;265;150;115;35;35;45;100;50;90;-99997;10
7615;1605;810;795;265;250;350;485;260;100;0;-99997
7621;5780;2945;2840;895;675;1145;1705;1360;90;10;10
7622;7825;3740;4085;1055;745;1530;2025;2470;90;10;10
